2017-08-09 10:51:46.894 | INFO  | [main] o.h.o.c.pooling:126 - HHH10001005: using driver [com.mysql.cj.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/dev?useSSL=true&serverTimezone=UTC]
2017-08-09 10:51:46.894 | INFO  | [main] o.h.o.c.pooling:135 - HHH10001001: Connection properties: {user=root, password=****}
2017-08-09 10:51:46.894 | INFO  | [main] o.h.o.c.pooling:140 - HHH10001003: Autocommit mode: false
2017-08-09 10:51:46.910 | INFO  | [main] o.h.e.j.c.i.DriverManagerConnectionProviderImpl:41 - HHH000115: Hibernate connection pool size: 20 (min=1)
2017-08-09 10:51:47.863 | INFO  | [main] o.h.d.Dialect:157 - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2017-08-09 10:51:49.410 | INFO  | [main] o.h.o.c.access:47 - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@32cb636e] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2017-08-09 10:51:49.676 | INFO  | [main] o.h.h.i.QueryTranslatorFactoryInitiator:47 - HHH000397: Using ASTQueryTranslatorFactory
2017-08-09 10:54:32.847 | INFO  | [main] o.h.Version:45 - HHH000412: Hibernate Core {5.2.10.Final}
2017-08-09 10:54:32.862 | INFO  | [main] o.h.c.Environment:213 - HHH000206: hibernate.properties not found
2017-08-09 10:54:33.519 | INFO  | [main] o.h.a.c.Version:66 - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2017-08-09 10:54:33.987 | WARN  | [main] o.h.o.c.pooling:70 - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2017-08-09 10:54:34.003 | INFO  | [main] o.h.o.c.pooling:126 - HHH10001005: using driver [com.mysql.cj.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/dev?useSSL=true&serverTimezone=UTC]
2017-08-09 10:54:34.003 | INFO  | [main] o.h.o.c.pooling:135 - HHH10001001: Connection properties: {user=root, password=****}
2017-08-09 10:54:34.003 | INFO  | [main] o.h.o.c.pooling:140 - HHH10001003: Autocommit mode: false
2017-08-09 10:54:34.019 | INFO  | [main] o.h.e.j.c.i.DriverManagerConnectionProviderImpl:41 - HHH000115: Hibernate connection pool size: 20 (min=1)
2017-08-09 10:54:34.722 | INFO  | [main] o.h.d.Dialect:157 - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
